scientificName
Oriolus cruentus
Geothlypis speciosa
Setophaga kirtlandii
Atlapetes flaviceps
Atlapetes pallidiceps
Atlapetes taczanowskii
Peucaea sumichrasti
Xenospiza baileyi
Celeus galeatus
Dendrocopos leucotos
Leuconotopicus borealis
Halobaena caerulea
Pelecanoides garnotii
Amazona diadema
Amazona dufresniana
Amazona lilacina
Leptosittaca branickii
Nannopsittaca dachilleae
Ognorhynchus icterotis
Psittacara euops
Pyrrhura calliptera
Pyrrhura orcesi
Tanygnathus sumatranus
Trichoglossus forsteni
Pycnonotus snouckaerti
Himantornis haematopus
Laterallus spilonota
Porphyrio hochstetteri
Rallina eurizonoides
Zapornia paykullii
Sitta formosa
Sitta magna
Acridotheres cinereus
Acridotheres javanicus
Aplonis circumscripta
Aplonis metallica
Gracula ptilogenys
Suthora nipalensis
Anas carolinensis
Anas crecca
Chaetura andrei
Chaetura vauxi
Ardea herodias
Ardea occidentalis
Newtonia amphichroa
Cercomacra ferdinandi
Clytoctantes alixii
Formicivora erythronotos
Hypocnemis striata
Xenornis setifrons
Poospiza goeringi
Saltator cinctus
Tangara cabanisi
Crypturellus atrocapillus
Crypturellus duidae
Crypturellus transfasciatus
Aglaeactis aliciae
Amazilia luciae
Augastes lumachella
Chaetocercus berlepschi
Coeligena consita
Coeligena orina
Eriocnemis nigrivestis
Eulidia yarrellii
Selasphorus ardens
Apalharpactes reinwardtii
Cochoa azurea
Geokichla interpres
Myiarchus semirufus
Myiodynastes hemichrysus
Ochthoeca piurae
Phylloscartes difficilis
Piprites pileata
Tyrannus cubensis
Upupa epops
Cleptornis marchei
Zosterops meeki
Accipiter collaris
Milvus migrans
Alexandrinus eques
Oroanassa magnifica
Hylocharis chrysura
Chlorestes cyanus
Chlorestes julie
Kurochkinegramma hypogrammica
Nicopsitta calthrapae
Palaeornis eupatria
Nicopsitta columboides
Himalayapsitta cyanocephala
Alexandrinus exsul
Himalayapsitta finschii
Palaeornis wardi
Himalayapsitta himalayana
Belocercus longicaudus
Himalayapsitta roseata
Laterallus flaviventer
Trichoglossus iris
Laterallus podarces
Laterallus rogersi
Athene blewitti
Alexandrinus krameri
Lophorina minor
Lophorina superba
Lophorina latipennis
Rynchops albicollis
Coracina macei
Coracina javensis
Eudyptes pachyrhynchus
Apalis lynesi
Laterallus spilopterus
Acanthis flammea
Accipiter badius
Accipiter striatus
Acrocephalus aequinoctialis
Acrocephalus longirostris
Acrocephalus palustris
Acrocephalus scirpaceus
Aechmophorus occidentalis
Alectoris chukar
Saucerottia castaneiventris
Amazona aestiva
Ammomanes cinctura
Anas acuta
Anas platyrhynchos
Anodorhynchus glaucus
Anodorhynchus leari
Anthocephala berlepschi
Anthocephala floriceps
Anthus cervinus
Anthus richardi
Anthus rubescens
Anthus similis
Apus pacificus
Apus pallidus
Aquila fasciata
Aquila heliaca
Aramides albiventris
Aramides cajaneus
Ardea alba
Ardea cinerea
Ardea purpurea
Ardenna carneipes
Ardenna grisea
Arenaria interpres
Arremon dorbignii
Arremon flavirostris
Athene noctua
Aulacorhynchus huallagae
Aythya nyroca
Brachyramphus marmoratus
Bubo ascalaphus
Bubulcus ibis
Bucanetes githagineus
Calidris alpina
Calidris falcinellus
Calidris tenuirostris
Callaeas cinereus
Calliope pectardens
Caprimulgus aegyptius
Catharus dryas
Catharus maculatus
Celeus undatus
Cercotrichas galactotes
Charadrius alexandrinus
Charadrius dubius
Charadrius hiaticula
Charadrius leschenaultii
Charmosyna diadema
Chlidonias niger
Cichlocolaptes mazarbarnetti
Cinnyris asiaticus
Clytorhynchus hamlini
Colaptes atricollis
Columba argentina
Columba livia
Columbina cyanopis
Coracias garrulus
Cotinga maculata
Cranioleuca henricae
Cuculus canorus
Cursorius cursor
Luscinia svecica
Cyanopsitta spixii
Cypsiurus gracilis
Cypsiurus parvus
Dessonornis caffer
Diglossa gloriosissima
Diglossa venezuelensis
Dromas ardeola
Drymophila genei
Eclectus cornelia
Eclectus polychloros
Eclectus riedeli
Eclectus roratus
Egretta picata
Elaenia albiceps
Elanus caeruleus
Eleothreptus candicans
Emberiza caesia
Emberiza calandra
Emberiza pallasi
Emberiza schoeniclus
Emberiza siemsseni
Empidonax difficilis
Eremomela turneri
Eremophila alpestris
Falco eleonorae
Falco peregrinus
Ficedula albicollis
Ficedula ruficauda
Formicivora acutirostris
Fringilla coelebs
Fulica atra
Galerida cristata
Gallinago gallinago
Gallinula chloropus
Gelochelidon nilotica
Geophaps plumifera
Glaucidium mooreorum
Grus americana
Gymnoris xanthocollis
Haematopus ostralegus
Haematopus finschi
Harpagus diodon
Hemimacronyx chloris
Hemitriccus cinnamomeipectus
Himantopus himantopus
Hirundapus caudacutus
Hirundo atrocaerulea
Hirundo rustica
Horornis canturians
Hydrobates hornbyi
Hydroprogne caspia
Hydrornis gurneyi
Hypocolius ampelinus
Hypotaenidia tertia
Icterus fuertesi
Icterus parisorum
Iduna opaca
Iduna pallida
Ixobrychus minutus
Lanius excubitor
Lanius nubicus
Larus armenicus
Larus canus
Larus fuscus
Larus genei
Larus glaucoides
Larus melanocephalus
Larus michahellis
Larus smithsonianus
Larvivora brunnea
Leiothlypis crissalis
Lullula arborea
Machaeropterus eckelberryi
Macropygia macassariensis
Macropygia magna
Macropygia timorlaoensis
Malaconotus monteiri
Malurus assimilis
Malurus lamberti
Margarornis bellulus
Megascops asio
Megascops cooperi
Megascops gilesi
Melamprosops phaeosoma
Melozone cabanisi
Mergus octosetaceus
Merops apiaster
Merops cyanophrys
Merops persicus
Microcarbo pygmaeus
Microptilotis gracilis
Microptilotis imitatrix
Monticola cinclorhyncha
Motacilla alba
Motacilla citreola
Motacilla flava
Motacilla tschutschensis
Muscicapa dauurica
Muscicapa sibirica
Muscicapa striata
Muscisaxicola capistratus
Myioborus pariae
Myiodynastes chrysocephalus
Myrmoderus eowilsoni
Myrmotherula snowi
Neochmia evangelinae
Neophedina cincta
Nothura maculosa
Nycticorax nycticorax
Odontophorus strophium
Oenanthe albonigra
Oenanthe chrysopygia
Oenanthe cypriaca
Oenanthe finschii
Oenanthe hispanica
Oenanthe monacha
Oenanthe picata
Oenanthe xanthoprymna
Oena capensis
Onychoprion anaethetus
Ortalis guttata
Ortalis squamata
Otus cyprius
Pandion haliaetus
Passerculus bairdii
Passerculus henslowii
Passer domesticus
Passer hispaniolensis
Passer moabiticus
Pelecanoides georgicus
Pelecanoides whenuahouensis
Penelope ortoni
Petrochelidon fulva
Phaethornis bourcieri
Phaethornis major
Phalacrocorax carbo
Phalacrocorax nigrogularis
Phalaropus lobatus
Philydor novaesi
Phoenicopterus roseus
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus burkii
Phylloscopus collybita
Phylloscopus ibericus
Phylloscopus neglectus
Phylloscopus nitidus
Phylloscopus presbytes
Phylloscopus rotiensis
Phylloscopus sindianus
Piranga hepatica
Platalea leucorodia
Plegadis falcinellus
Pluvialis fulva
Pluvialis squatarola
Podiceps cristatus
Poecile montanus
Poecile weigoldicus
Pomarea whitneyi
Porphyrio porphyrio
Prinia gracilis
Psarocolius cassini
Psittacus timneh
Pterocles alchata
Ptilinopus richardsii
Puffinus huttoni
Puffinus persicus
Pycnonotus pseudosimplex
Pycnonotus simplex
Pycnonotus xanthopygos
Pyrrhura chapmani
Pyrrhura melanura
Rallus aquaticus
Rallus limicola
Remiz pendulinus
Riparia riparia
Rissa tridactyla
Saltator striatipectus
Sayornis saya
Scolopax rusticola
Scytalopus rodriguezi
Sialia currucoides
Spatula clypeata
Spizocorys fringillaris
Sporophila cinnamomea
Sporophila maximiliani
Sporophila melanogaster
Sporophila palustris
Stachyris nonggangensis
Sterna hirundo
Sterna repressa
Sterna striata
Sterna vittata
Sternula albifrons
Sternula lorata
Sternula saundersi
Streptopelia decaocto
Streptopelia turtur
Sturnella magna
Sturnus vulgaris
Curruca cantillans
Curruca communis
Curruca conspicillata
Curruca crassirostris
Curruca curruca
Curruca hortensis
Curruca ruppeli
Curruca subalpina
Synallaxis cinerea
Tachybaptus ruficollis
Tadorna tadorna
Taoniscus nanus
Terpsiphone paradisi
Thalasseus sandvicensis
Thamnophilus shumbae
Tichodroma muraria
Todiramphus chloris
Todiramphus godeffroyi
Todiramphus tutus
Torgos tracheliotos
Turacoena manadensis
Turdus feae
Turdus torquatus
Turdus unicolor
Turnix nanus
Tyto alba
Urile pelagicus
Vanellus gregarius
Vanellus macropterus
Vireo atricapilla
Vireo chivi
Vireo olivaceus
Vireo vicinior
Xenoglaux loweryi
Xenopirostris damii
Xenotriccus callizonus
Xenus cinereus
Zapornia pusilla
Zoothera aurea
Zoothera dauma
Zosterops auriventer
Zosterops everetti
Zosterops japonicus
Zosterops melanurus
Zosterops modestus
Zosterops palpebrosus
Zosterops rennellianus
Zosterops simplex
Zosterops citrinella
Machaeropterus striolatus
Paraclaravis mondetoura
Paragallinula angulata
Porphyriops melanops
Hypsipetes thompsoni
Phyllaemulor bracteatus
Hypsipetes affinis
Hypsipetes aureus
Hypsipetes chloris
Hypsipetes harterti
Hypsipetes lucasi
Hypsipetes longirostris
Hypsipetes mysticalis
Rubigula dispar
Rubigula gularis
Rubigula montis
Ixidia squamata
Montecincla jerdoni
Montecincla meridionalis
Rubigula melanictera
Montecincla fairbanki
Zosterops emiliae
Ixidia cyaniventris
Ixidia erythropthalmos
Sholicola albiventris
Sholicola major
Nok hualon
Hemixos leucogrammicus
Alcurus striatus
Rubigula flaviventris
Montecincla cachinnans
Hypsipetes platenae
Atronanus fuliginosus
Paraclaravis geoffroyi
Hypotaenidia owstoni
Urile perspicillatus
Chaetura martinica
Chaetura meridionalis
Chalcites osculans
Chalcites ruficollis
Chalcophaps indica
Chalcophaps longirostris
Chalcopsitta atra
Chalcopsitta cardinalis
Chalcopsitta duivenbodei
Chalcopsitta scintillata
Chalcostigma herrani
Chalcostigma olivaceum
Charadrius alticola
Chalcostigma ruficeps
Charadrius bifrontatus
Charadrius collaris
Chrysocolaptes haematribon
Chalcostigma stanleyi
Charadrius dealbatus
Chamaepetes goudotii
Chamaepetes unicolor
Chrysocolaptes lucidus
Charadrius javanicus
Charadrius nivosus
Charadrius obscurus
Charadrius pallidus
Charadrius pecuarius
Charadrius peronii
Charadrius placidus
Charadrius ruficapillus
Chrysocolaptes stricklandi
Chrysocolaptes strictus
Chrysocolaptes validus
Charadrius sanctaehelenae
Charadrius semipalmatus
Chrysocolaptes xanthocephalus
Chrysoena luteovirens
Chrysoena victor
Fulica americana
Cynanthus forficatus
Charadrius veredus
Charadrius vociferus
Charadrius wilsonia
Charadrius thoracicus
Charadrius tricollaris
Charmosyna amabilis
Chlorostilbon gibsoni
Chlorostilbon lucidus
Charmosyna meeki
Charmosyna multistriata
Fulica ardesiaca
Fulica armillata
Charmosyna palmarum
Charmosyna papou
Charmosyna placentis
Charmosyna pulchella
Charmosyna rubrigularis
Chlidonias hybrida
Charmosyna rubronotata
Charmosyna stellae
Charmosyna toxopei
Charmosyna wilhelminae
Chelictinia riocourii
Chelidoptera tenebrosa
Chenonetta finschi
Chenonetta jubata
Chlidonias leucopterus
Chloephaga hybrida
Chloephaga melanoptera
Chloephaga picta
Chloephaga poliocephala
Chloephaga rubidiceps
Chloroceryle aenea
Chloroceryle inda
Riccordia maugaeus
Chlorostilbon mellisugus
Cynanthus auriceps
Chlorestes notata
Riccordia ricordii
Chlorostilbon russatus
Chrysophlegma flavinucha
Chrysophlegma humii
Chrysophlegma mentale
Chrysophlegma miniaceum
Chlorostilbon stenurus
Riccordia swainsonii
Chondrohierax uncinatus
Chondrohierax wilsonii
Chunga burmeisteri
Chordeiles acutipennis
Chordeiles gundlachii
Chordeiles minor
Chordeiles nacunda
Ciconia microscelis
Ciconia nigra
Ciconia stormi
Chordeiles rupestris
Chrysococcyx caprius
Chrysococcyx cupreus
Chrysoena viridis
Chrysolampis mosquitus
Circaetus cinerascens
Circaetus cinereus
Circaetus fasciolatus
Ciccaba albitarsis
Ciccaba huhula
Ciccaba nigrolineata
Pericrocotus albifrons
Ciconia abdimii
Ciconia ciconia
Ciconia maguari
Circus approximans
Circus assimilis
Circus buffoni
Circus cinereus
Circus hudsonius
Circus macrosceles
Cittura cyanotis
Pericrocotus cinnamomeus
Circus maillardi
Circus ranivorus
Circus spilothorax
Cittura sanghirensis
Cladorhynchus leucocephalus
Clamator coromandus
Clamator jacobinus
Clamator levaillantii
Clanga hastata
Furnarius cristatus
Clangula hyemalis
Pterorhinus galbanus
Claravis pretiosa
Coccyzus longirostris
Dacelo rex
Clytolaema rubricauda
Coccycua cinerea
Coccyzus euleri
Coccyzus ferrugineus
Coccyzus lansbergi
Pericrocotus erythropygius
Pericrocotus montanus
Pericrocotus solaris
Coccyzus pluvialis
Coccyzus vetula
Dendrocygna viduata
Coeligena coeligena
Coeligena conradii
Coeligena dichroura
Coeligena eisenmanni
Coeligena eos
Perisoreus infaustus
Coeligena helianthea
Coeligena inca
Coeligena iris
Coeligena wilsoni
Coeligena lutetiae
Coenocorypha barrierensis
Petroica australis
Petroica boodang
Coeligena osculans
Coenocorypha iredalei
Colaptes cafer
Coeligena torquata
Colaptes campestris
Colaptes campestroides
Colaptes chrysoides
Colaptes aeruginosus
Colaptes atriceps
Colaptes auratus
Colaptes auricularis
Colaptes mexicanoides
Himantopus novaezelandiae
Colaptes melanochloros
Colaptes melanolaimus
Colaptes pitius
Colaptes punctigula
Colaptes rivolii
Colaptes rubiginosus
Cyrtonyx ocellatus
Colibri coruscans
Colibri serrirostris
Platyrinchus mystaceus
Colibri thalassinus
Platyrinchus saturatus
Platysmurus aterrimus
Platysmurus leucopterus
Dyaphorophyia ansorgei
Colinus virginianus
Columba versicolor
Colius castanotus
Colius colius
Colius leucocephalus
Colius striatus
Collocalia linchi
Collocalia troglodytes
Columba albinucha
Columba albitorques
Columba vitiensis
Columba arquatrix
Columba sjostedti
Columba bollii
Columba delegorguei
Columba elphinstonii
Columbina buckleyi
Columbina cruziana
Dyaphorophyia castanea
Columba hodgsonii
Columba iriditorques
Columba janthina
Columba jouyi
Columba junoniae
Columba leucomela
Columba leuconota
Columba oenas
Columba oliviae
Columba thiriouxi
Columba palumboides
Columba pollenii
Columba pulchricollis
Coracias caudatus
Columba rupestris
Columba torringtoniae
Coracias cyanogaster
Hydrocoloeus minutus
Columbina inca
Columbina minuta
Columbina picui
Columbina squammata
Columbina talpacoti
Conuropsis carolinensis
Coracias abyssinicus
Coracias affinis
Coracias benghalensis
Coracias naevius
Coracias spatulatus
Coracias temminckii
Coracopsis barklyi
Coracopsis nigra
Coracopsis sibilans
Corythornis cristatus
Corythornis leucogaster
Corythornis madagascariensis
Coracopsis vasa
Coragyps atratus
Corythaeola cristata
Corythaixoides concolor
Corythaixoides leopoldi
Corythaixoides personatus
Corythornis nais
Corythornis thomensis
Coscoroba coscoroba
Coturnicops exquisitus
Coturnicops notatus
Coturnix novaezelandiae
Coturnix pectoralis
Coua caerulea
Coua coquereli
Coturnix coromandelica
Coturnix delegorguei
Coturnix japonica
Coua reynaudii
Cyrtonyx sallei
Coua cursor
Coua delalandei
Coua gigas
Coua olivaceiceps
Coua serriana
Coua verreauxi
Crax alberti
Crax alector
Crax blumenbachii
Crax daubentoni
Crax globulosa
Crax rubra
Creagrus furcatus
Crex crex
Crossoptilon mantchuricum
Dacelo gaudichaud
Dacelo leachii
Crotophaga major
Cryptolybia olivacea
Cryptophaps poecilorrhoa
Dacelo novaeguineae
Crypturellus bartletti
Crypturellus berlepschi
Crypturellus brevirostris
Crypturellus casiquiare
Crypturellus cinereus
Crypturellus erythropus
Crypturellus kerriae
Dacelo tyro
Dactylortyx thoracicus
Daption capense
Daptrius ater
Crypturellus noctivagus
Crypturellus obsoletus
Crypturellus parvirostris
